attack,churn,seed,round,acc,f1
grad-p,0.2,42,19,87.35,3.07
grad-p,0.2,42,20,87.5,5.3
grad-p,0.2,42,21,87.6,6.77
grad-p,0.2,42,22,87.3,2.31
grad-p,0.2,42,23,87.3,2.31
grad-p,0.2,42,24,87.5,5.3
grad-p,0.2,42,25,87.35,3.07
grad-p,0.2,42,26,87.2,0.78
grad-p,0.2,42,27,87.35,3.07
grad-p,0.2,42,28,88.75,22.15
grad-p,0.2,42,29,88.45,18.37
grad-p,0.2,42,30,88.45,18.37
grad-p,0.2,42,31,88.75,22.15
grad-p,0.2,42,32,88.9,23.97
grad-p,0.2,42,33,88.7,21.53
grad-p,0.2,42,34,89.0,25.17
grad-p,0.2,42,35,88.85,23.37
grad-p,0.2,42,36,89.6,32.03
grad-p,0.2,42,37,90.1,37.34
grad-p,0.2,42,38,88.75,22.15
grad-p,0.2,42,39,89.55,31.48
grad-p,0.2,42,40,90.55,41.85
grad-p,0.2,42,41,90.45,40.87
grad-p,0.2,42,42,91.0,46.11
grad-p,0.2,42,43,91.05,46.57
grad-p,0.2,42,44,90.8,44.24
grad-p,0.2,42,45,91.25,48.38
grad-p,0.2,42,46,90.45,40.87
grad-p,0.2,42,47,89.0,25.17
grad-p,0.2,42,48,89.1,26.35
grad-p,0.2,42,49,88.95,24.57
grad-p,0.2,43,0,68.75,21.97
grad-p,0.2,43,1,52.2,31.42
grad-p,0.2,43,2,38.85,29.27
grad-p,0.2,43,3,43.3,31.11
grad-p,0.2,43,4,23.0,25.02
grad-p,0.2,43,5,18.4,23.95
grad-p,0.2,43,6,28.6,26.47
grad-p,0.2,43,7,33.15,27.77
grad-p,0.2,43,8,42.8,30.83
grad-p,0.2,43,9,55.95,36.57
grad-p,0.2,43,10,67.4,43.4
grad-p,0.2,43,11,89.95,64.8
grad-p,0.2,43,12,91.7,67.06
grad-p,0.2,43,13,90.2,67.44
grad-p,0.2,43,14,91.7,70.88
grad-p,0.2,43,15,92.2,72.82
grad-p,0.2,43,16,92.75,70.94
grad-p,0.2,43,17,93.0,71.19
grad-p,0.2,43,18,93.15,71.75
grad-p,0.2,43,19,93.05,69.85
grad-p,0.2,43,20,93.1,70.0
grad-p,0.2,43,21,91.0,67.97
grad-p,0.2,43,22,91.75,69.72
grad-p,0.2,43,23,92.0,68.75
grad-p,0.2,43,24,91.45,68.27
grad-p,0.2,43,25,92.4,63.64
grad-p,0.2,43,26,92.75,65.72
grad-p,0.2,43,27,93.05,66.83
grad-p,0.2,43,28,93.2,67.62
grad-p,0.2,43,29,93.7,70.0
grad-p,0.2,43,30,93.75,69.88
grad-p,0.2,43,31,93.9,70.39
grad-p,0.2,43,32,94.15,72.08
grad-p,0.2,43,33,94.3,72.99
grad-p,0.2,43,34,94.5,73.3
grad-p,0.2,43,35,94.0,70.0
grad-p,0.2,43,36,94.05,70.62
grad-p,0.2,43,37,93.75,68.35
grad-p,0.2,43,38,94.1,70.79
grad-p,0.2,43,39,94.15,71.11
grad-p,0.2,43,40,94.5,73.3
grad-p,0.2,43,41,94.55,73.61
grad-p,0.2,43,42,94.3,72.06
grad-p,0.2,43,43,94.7,74.4
grad-p,0.2,43,44,94.75,74.58
grad-p,0.2,43,45,93.95,69.37
grad-p,0.2,43,46,94.05,70.03
grad-p,0.2,43,47,94.1,70.35
grad-p,0.2,43,48,94.15,70.68
grad-p,0.2,43,49,94.2,71.0
grad-p,0.2,44,0,45.9,30.28
grad-p,0.2,44,1,27.65,25.45
grad-p,0.2,44,2,56.6,32.82
grad-p,0.2,44,3,71.05,35.02
grad-p,0.2,44,4,64.75,34.9
grad-p,0.2,44,5,72.2,39.83
grad-p,0.2,44,6,80.65,46.62
grad-p,0.2,44,7,81.25,43.44
grad-p,0.2,44,8,76.95,31.7
grad-p,0.2,44,9,80.4,34.88
grad-p,0.2,44,10,86.2,36.41
grad-p,0.2,44,11,84.8,39.44
grad-p,0.2,44,12,87.0,33.67
grad-p,0.2,44,13,88.15,35.07
grad-p,0.2,44,14,88.1,32.39
grad-p,0.2,44,15,87.65,49.28
grad-p,0.2,44,16,88.9,48.37
grad-p,0.2,44,17,90.1,50.5
grad-p,0.2,44,18,90.0,47.09
grad-p,0.2,44,19,89.7,41.81
grad-p,0.2,44,20,91.0,55.22
grad-p,0.2,44,21,91.15,56.51
grad-p,0.2,44,22,91.5,57.71
grad-p,0.2,44,23,91.5,56.41
grad-p,0.2,44,24,90.25,40.0
grad-p,0.2,44,25,90.65,46.11
grad-p,0.2,44,26,89.8,37.8
grad-p,0.2,44,27,90.05,39.51
grad-p,0.2,44,28,90.05,40.24
grad-p,0.2,44,29,89.95,36.99
grad-p,0.2,44,30,89.8,35.44
grad-p,0.2,44,31,89.6,32.9
grad-p,0.2,44,32,88.45,18.37
grad-p,0.2,44,33,88.5,19.01
grad-p,0.2,44,34,89.15,26.94
grad-p,0.2,44,35,88.65,20.91
grad-p,0.2,44,36,88.65,20.91
grad-p,0.2,44,37,88.75,22.15
grad-p,0.2,44,38,88.65,20.91
grad-p,0.2,44,39,88.8,22.76
grad-p,0.2,44,40,89.5,30.92
grad-p,0.2,44,41,89.55,31.48
grad-p,0.2,44,42,88.5,19.01
grad-p,0.2,44,43,88.65,20.91
grad-p,0.2,44,44,89.05,25.76
grad-p,0.2,44,45,90.0,36.31
grad-p,0.2,44,46,90.35,39.88
grad-p,0.2,44,47,90.0,36.31
grad-p,0.2,44,48,90.05,36.83
grad-p,0.2,44,49,89.9,35.26
grad-p,0.3,42,0,16.0,23.43
grad-p,0.3,42,1,14.4,22.04
grad-p,0.3,42,2,15.65,23.35
grad-p,0.3,42,3,23.95,24.81
grad-p,0.3,42,4,39.7,24.25
grad-p,0.3,42,5,51.05,27.1
grad-p,0.3,42,6,65.75,30.6
grad-p,0.3,42,7,68.65,32.36
grad-p,0.3,42,8,75.45,37.77
grad-p,0.3,42,9,85.4,46.52
grad-p,0.3,42,10,86.0,51.39
grad-p,0.3,42,11,90.85,57.93
grad-p,0.3,42,12,90.4,50.26
grad-p,0.3,42,13,86.65,49.91
grad-p,0.3,42,14,91.15,55.86
grad-p,0.3,42,15,91.4,55.67
grad-p,0.3,42,16,91.15,51.51
grad-p,0.3,42,17,91.15,50.7
grad-p,0.3,42,18,91.45,52.89
grad-p,0.3,42,19,91.7,54.4
grad-p,0.3,42,20,91.85,55.59
grad-p,0.3,42,21,91.6,53.33
grad-p,0.3,42,22,91.95,56.13
grad-p,0.3,42,23,91.45,52.1
grad-p,0.3,42,24,91.55,52.66
grad-p,0.3,42,25,91.25,50.42
grad-p,0.3,42,26,89.8,36.25
grad-p,0.3,42,27,89.95,37.77
grad-p,0.3,42,28,89.95,37.38
grad-p,0.3,42,29,90.2,40.24
grad-p,0.3,42,30,90.3,41.21
grad-p,0.3,42,31,90.75,45.43
grad-p,0.3,42,32,90.75,45.43
grad-p,0.3,42,33,90.9,46.47
grad-p,0.3,42,34,90.55,43.24
grad-p,0.3,42,35,90.75,45.1
grad-p,0.3,42,36,89.75,34.92
grad-p,0.3,42,37,90.6,43.71
grad-p,0.3,42,38,90.8,45.24
grad-p,0.3,42,39,90.1,38.12
grad-p,0.3,42,40,89.0,25.17
grad-p,0.3,42,41,89.15,26.94
grad-p,0.3,42,42,89.05,25.76
grad-p,0.3,42,43,89.25,28.09
grad-p,0.3,42,44,89.35,29.24
grad-p,0.3,42,45,89.6,32.03
grad-p,0.3,42,46,89.8,34.19
grad-p,0.3,42,47,89.85,34.73
grad-p,0.3,42,48,90.05,36.83
grad-p,0.3,42,49,90.35,39.88
grad-p,0.3,43,0,80.5,41.44
grad-p,0.3,43,1,45.35,29.98
grad-p,0.3,43,2,72.4,22.03
grad-p,0.3,43,3,77.1,19.65
grad-p,0.3,43,4,71.2,24.41
grad-p,0.3,43,5,63.0,23.87
grad-p,0.3,43,6,74.45,29.52
grad-p,0.3,43,7,79.6,33.98
grad-p,0.3,43,8,82.6,35.32
grad-p,0.3,43,9,84.05,36.07
grad-p,0.3,43,10,85.55,42.08
grad-p,0.3,43,11,86.8,41.59
grad-p,0.3,43,12,87.5,35.23
grad-p,0.3,43,13,88.15,36.12
grad-p,0.3,43,14,88.55,35.85
grad-p,0.3,43,15,88.85,38.23
