attack,alpha,round,acc,f1
spf,0.01,16,96.45,0.0
spf,0.01,17,96.45,0.0
spf,0.01,18,96.45,0.0
spf,0.01,19,96.45,0.0
spf,0.01,20,96.45,0.0
spf,0.01,21,96.45,0.0
spf,0.01,22,96.45,0.0
spf,0.01,23,96.45,0.0
spf,0.01,24,96.45,0.0
spf,0.01,25,96.45,0.0
spf,0.01,26,96.45,0.0
spf,0.01,27,96.45,0.0
spf,0.01,28,96.45,0.0
spf,0.01,29,96.45,0.0
spf,0.01,30,96.45,0.0
spf,0.01,31,96.45,0.0
spf,0.01,32,96.45,0.0
spf,0.01,33,96.45,0.0
spf,0.01,34,96.45,0.0
spf,0.01,35,96.45,0.0
spf,0.01,36,96.45,0.0
spf,0.01,37,96.45,0.0
spf,0.01,38,96.45,0.0
spf,0.01,39,96.45,0.0
spf,0.01,40,96.45,0.0
spf,0.01,41,96.45,0.0
spf,0.01,42,96.45,0.0
spf,0.01,43,96.45,0.0
spf,0.01,44,96.45,0.0
spf,0.01,45,96.45,0.0
spf,0.01,46,96.45,0.0
spf,0.01,47,96.45,0.0
spf,0.01,48,96.45,0.0
spf,0.01,49,96.45,0.0
spf,0.05,0,61.7,7.26
spf,0.05,1,67.15,8.11
spf,0.05,2,80.6,10.6
spf,0.05,3,84.45,11.9
spf,0.05,4,87.3,13.61
spf,0.05,5,92.3,3.75
spf,0.05,6,95.1,0.0
spf,0.05,7,96.3,0.0
spf,0.05,8,96.25,0.0
spf,0.05,9,96.45,0.0
spf,0.05,10,96.45,0.0
spf,0.05,11,96.45,0.0
spf,0.05,12,96.45,0.0
spf,0.05,13,96.45,0.0
spf,0.05,14,96.45,0.0
spf,0.05,15,96.45,0.0
spf,0.05,16,96.45,0.0
spf,0.05,17,96.45,0.0
spf,0.05,18,96.45,0.0
spf,0.05,19,96.45,0.0
spf,0.05,20,96.45,0.0
spf,0.05,21,96.45,0.0
spf,0.05,22,96.45,0.0
spf,0.05,23,96.45,0.0
spf,0.05,24,96.45,0.0
spf,0.05,25,96.45,0.0
spf,0.05,26,96.45,0.0
spf,0.05,27,96.45,0.0
spf,0.05,28,96.45,0.0
spf,0.05,29,96.45,0.0
spf,0.05,30,96.45,0.0
spf,0.05,31,96.45,0.0
spf,0.05,32,96.45,0.0
spf,0.05,33,96.45,0.0
spf,0.05,34,96.45,0.0
spf,0.05,35,96.45,0.0
spf,0.05,36,96.45,0.0
spf,0.05,37,96.45,0.0
spf,0.05,38,96.45,0.0
spf,0.05,39,96.45,0.0
spf,0.05,40,96.45,0.0
spf,0.05,41,96.45,0.0
spf,0.05,42,96.45,0.0
spf,0.05,43,96.45,0.0
spf,0.05,44,96.45,0.0
spf,0.05,45,96.45,0.0
spf,0.05,46,96.45,0.0
spf,0.05,47,96.45,0.0
spf,0.05,48,96.45,0.0
spf,0.05,49,96.45,0.0
spf,0.1,0,63.15,7.3
spf,0.1,1,72.05,9.11
spf,0.1,2,80.2,10.41
spf,0.1,3,85.95,12.46
spf,0.1,4,89.75,9.69
spf,0.1,5,93.1,2.82
spf,0.1,6,94.55,0.0
spf,0.1,7,96.25,0.0
spf,0.1,8,96.45,0.0
spf,0.1,9,96.45,0.0
spf,0.1,10,96.45,0.0
spf,0.1,11,96.45,0.0
spf,0.1,12,96.45,0.0
spf,0.1,13,96.45,0.0
spf,0.1,14,96.45,0.0
spf,0.1,15,96.45,0.0
spf,0.1,16,96.45,0.0
spf,0.1,17,96.45,0.0
spf,0.1,18,96.45,0.0
spf,0.1,19,96.45,0.0
spf,0.1,20,96.45,0.0
spf,0.1,21,96.45,0.0
spf,0.1,22,96.45,0.0
spf,0.1,23,96.45,0.0
spf,0.1,24,96.45,0.0
spf,0.1,25,96.45,0.0
spf,0.1,26,96.45,0.0
spf,0.1,27,96.45,0.0
spf,0.1,28,96.45,0.0
spf,0.1,29,96.45,0.0
spf,0.1,30,96.45,0.0
spf,0.1,31,96.45,0.0
spf,0.1,32,96.45,0.0
spf,0.1,33,96.45,0.0
spf,0.1,34,96.45,0.0
spf,0.1,35,96.45,0.0
spf,0.1,36,96.45,0.0
spf,0.1,37,96.45,0.0
spf,0.1,38,96.45,0.0
spf,0.1,39,96.45,0.0
spf,0.1,40,96.45,0.0
spf,0.1,41,96.45,0.0
spf,0.1,42,96.45,0.0
spf,0.1,43,96.45,0.0
spf,0.1,44,96.45,0.0
spf,0.1,45,96.45,0.0
spf,0.1,46,96.45,0.0
spf,0.1,47,96.45,0.0
spf,0.1,48,96.45,0.0
spf,0.1,49,96.45,0.0
spf,0.2,0,67.3,8.15
spf,0.2,1,74.55,9.91
spf,0.2,2,82.4,11.56
spf,0.2,3,87.7,13.99
spf,0.2,4,92.3,6.1
spf,0.2,5,94.8,0.0
spf,0.2,6,95.7,0.0
spf,0.2,7,96.3,0.0
spf,0.2,8,96.45,0.0
spf,0.2,9,96.45,0.0
spf,0.2,10,96.45,0.0
spf,0.2,11,96.45,0.0
spf,0.2,12,96.45,0.0
spf,0.2,13,96.45,0.0
spf,0.2,14,96.45,0.0
spf,0.2,15,96.45,0.0
spf,0.2,16,96.45,0.0
spf,0.2,17,96.45,0.0
spf,0.2,18,96.45,0.0
spf,0.2,19,96.45,0.0
spf,0.2,20,96.45,0.0
spf,0.2,21,96.45,0.0
spf,0.2,22,96.45,0.0
spf,0.2,23,96.45,0.0
spf,0.2,24,96.45,0.0
spf,0.2,25,96.45,0.0
spf,0.2,26,96.45,0.0
spf,0.2,27,96.45,0.0
spf,0.2,28,96.45,0.0
spf,0.2,29,96.45,0.0
spf,0.2,30,96.45,0.0
spf,0.2,31,96.45,0.0
spf,0.2,32,96.45,0.0
spf,0.2,33,96.45,0.0
spf,0.2,34,96.45,0.0
spf,0.2,35,96.45,0.0
spf,0.2,36,96.45,0.0
spf,0.2,37,96.45,0.0
spf,0.2,38,96.45,0.0
spf,0.2,39,96.45,0.0
spf,0.2,40,96.45,0.0
