method,seed,round,acc,f1
Multi-Krum,42,42,95.75,74.78
Multi-Krum,42,43,95.85,75.22
Multi-Krum,42,44,95.8,75.0
Multi-Krum,42,45,95.9,75.6
Multi-Krum,42,46,95.75,75.22
Multi-Krum,42,47,95.8,75.44
Multi-Krum,42,48,96.0,76.19
Multi-Krum,42,49,96.05,76.42
Multi-Krum,43,0,84.6,37.4
Multi-Krum,43,1,86.7,38.71
Multi-Krum,43,2,89.65,48.64
Multi-Krum,43,3,90.75,46.99
Multi-Krum,43,4,91.7,40.29
Multi-Krum,43,5,92.65,48.42
Multi-Krum,43,6,93.5,54.23
Multi-Krum,43,7,93.45,52.01
Multi-Krum,43,8,94.05,56.09
Multi-Krum,43,9,94.5,60.43
Multi-Krum,43,10,94.65,58.04
Multi-Krum,43,11,94.1,50.83
Multi-Krum,43,12,94.6,57.14
Multi-Krum,43,13,94.7,58.27
Multi-Krum,43,14,94.85,60.23
Multi-Krum,43,15,94.85,59.92
Multi-Krum,43,16,95.15,63.67
Multi-Krum,43,17,95.3,65.44
Multi-Krum,43,18,95.65,69.9
Multi-Krum,43,19,95.7,70.34
Multi-Krum,43,20,95.9,72.67
Multi-Krum,43,21,95.95,72.91
Multi-Krum,43,22,95.9,72.85
Multi-Krum,43,23,96.1,74.51
Multi-Krum,43,24,96.0,74.84
Multi-Krum,43,25,96.15,74.92
Multi-Krum,43,26,96.1,74.84
Multi-Krum,43,27,96.2,76.1
Multi-Krum,43,28,96.1,75.78
Multi-Krum,43,29,96.1,76.07
Multi-Krum,43,30,96.1,76.07
Multi-Krum,43,31,96.25,77.61
Multi-Krum,43,32,96.25,77.74
Multi-Krum,43,33,96.2,77.91
Multi-Krum,43,34,96.25,78.13
Multi-Krum,43,35,96.3,78.61
Multi-Krum,43,36,96.25,78.13
Multi-Krum,43,37,96.35,78.96
Multi-Krum,43,38,96.35,78.96
Multi-Krum,43,39,96.4,79.66
Multi-Krum,43,40,96.4,79.31
Multi-Krum,43,41,96.4,79.43
Multi-Krum,43,42,96.4,79.55
Multi-Krum,43,43,96.4,79.66
Multi-Krum,43,44,96.45,80.33
Multi-Krum,43,45,96.1,78.8
Multi-Krum,43,46,96.15,79.13
Multi-Krum,43,47,96.3,79.78
Multi-Krum,43,48,96.25,79.56
Multi-Krum,43,49,96.15,79.36
Multi-Krum,44,0,14.75,16.63
Multi-Krum,44,1,32.0,19.05
Multi-Krum,44,2,49.4,22.39
Multi-Krum,44,3,65.55,27.55
Multi-Krum,44,4,71.1,30.53
Multi-Krum,44,5,78.1,35.01
Multi-Krum,44,6,84.95,37.94
Multi-Krum,44,7,86.95,39.44
Multi-Krum,44,8,89.8,40.35
Multi-Krum,44,9,91.55,38.1
Multi-Krum,44,10,92.45,34.63
Multi-Krum,44,11,92.85,30.92
Multi-Krum,44,12,92.65,24.62
Multi-Krum,44,13,92.15,15.14
Multi-Krum,44,14,92.2,16.13
Multi-Krum,44,15,92.1,13.19
Multi-Krum,44,16,92.0,11.11
Multi-Krum,44,17,92.3,17.2
Multi-Krum,44,18,92.25,16.22
Multi-Krum,44,19,92.75,25.64
Multi-Krum,44,20,92.55,21.99
Multi-Krum,44,21,92.55,21.99
Multi-Krum,44,22,92.5,21.05
Multi-Krum,44,23,92.9,28.28
Multi-Krum,44,24,93.0,30.0
Multi-Krum,44,25,93.1,31.68
Multi-Krum,44,26,93.0,30.0
Multi-Krum,44,27,93.4,36.54
Multi-Krum,44,28,93.6,40.19
Multi-Krum,44,29,94.1,47.32
Multi-Krum,44,30,94.15,48.0
Multi-Krum,44,31,93.9,44.55
Multi-Krum,44,32,93.85,43.84
Multi-Krum,44,33,93.85,43.84
Multi-Krum,44,34,94.25,49.34
Multi-Krum,44,35,94.45,51.95
Multi-Krum,44,36,94.7,55.83
Multi-Krum,44,37,94.65,55.23
Multi-Krum,44,38,94.8,57.72
Multi-Krum,44,39,95.25,63.6
Multi-Krum,44,40,95.45,65.66
Multi-Krum,44,41,95.4,65.15
Multi-Krum,44,42,95.6,67.16
Multi-Krum,44,43,95.35,64.64
Multi-Krum,44,44,95.6,67.16
Multi-Krum,44,45,96.1,72.14
Multi-Krum,44,46,96.05,71.68
Multi-Krum,44,47,96.1,72.14
Multi-Krum,44,48,96.1,72.34
Multi-Krum,44,49,96.1,72.34
TrimmedMean,42,0,43.75,19.93
TrimmedMean,42,1,62.7,26.57
TrimmedMean,42,2,81.7,36.24
TrimmedMean,42,3,90.6,46.29
TrimmedMean,42,4,92.85,42.57
TrimmedMean,42,5,93.15,40.17
TrimmedMean,42,6,93.1,34.29
TrimmedMean,42,7,93.05,32.2
TrimmedMean,42,8,92.65,25.38
TrimmedMean,42,9,92.75,27.14
TrimmedMean,42,10,92.6,23.71
TrimmedMean,42,11,92.7,24.74
TrimmedMean,42,12,92.75,25.64
TrimmedMean,42,13,92.85,27.41
TrimmedMean,42,14,93.15,32.51
TrimmedMean,42,15,93.05,30.85
TrimmedMean,42,16,93.3,34.95
TrimmedMean,42,17,93.2,33.33
TrimmedMean,42,18,93.4,36.54
TrimmedMean,42,19,93.45,37.32
TrimmedMean,42,20,93.45,37.32
TrimmedMean,42,21,93.5,38.1
TrimmedMean,42,22,93.75,41.86
TrimmedMean,42,23,93.95,44.75
TrimmedMean,42,24,94.2,48.21
TrimmedMean,42,25,94.2,48.21
TrimmedMean,42,26,94.45,51.53
TrimmedMean,42,27,94.6,53.45
TrimmedMean,42,28,94.65,54.08
TrimmedMean,42,29,94.8,55.93
TrimmedMean,42,30,94.95,57.74
TrimmedMean,42,31,95.0,58.33
TrimmedMean,42,32,95.1,59.5
TrimmedMean,42,33,95.25,61.22
TrimmedMean,42,34,95.45,63.45
TrimmedMean,42,35,95.45,63.45
TrimmedMean,42,36,95.45,63.45
TrimmedMean,42,37,95.45,63.45
TrimmedMean,42,38,95.5,64.0
TrimmedMean,42,39,95.55,64.54
TrimmedMean,42,40,95.8,67.19
TrimmedMean,42,41,95.95,68.73
TrimmedMean,42,42,96.1,70.23
TrimmedMean,42,43,96.15,70.72
TrimmedMean,42,44,96.25,71.7
TrimmedMean,42,45,96.25,71.7
TrimmedMean,42,46,96.25,71.7
TrimmedMean,42,47,96.25,71.7
TrimmedMean,42,48,96.35,72.66
TrimmedMean,42,49,96.35,72.66
TrimmedMean,43,0,84.35,41.28
TrimmedMean,43,1,87.75,46.62
TrimmedMean,43,2,90.4,51.52
TrimmedMean,43,3,91.4,50.57
TrimmedMean,43,4,92.45,47.02
TrimmedMean,43,5,93.4,52.17
TrimmedMean,43,6,93.45,50.19
TrimmedMean,43,7,93.95,51.41
TrimmedMean,43,8,94.15,51.05
TrimmedMean,43,9,94.3,52.5
TrimmedMean,43,10,94.25,51.06
TrimmedMean,43,11,94.25,51.06
TrimmedMean,43,12,94.65,55.97
TrimmedMean,43,13,94.4,52.54
TrimmedMean,43,14,94.9,58.54
TrimmedMean,43,15,94.8,57.02
TrimmedMean,43,16,94.85,57.26
TrimmedMean,43,17,94.85,56.9
TrimmedMean,43,18,94.95,58.09
TrimmedMean,43,19,95.0,58.68
TrimmedMean,43,20,95.25,61.54
TrimmedMean,43,21,95.3,62.1
TrimmedMean,43,22,95.3,62.1
TrimmedMean,43,23,95.35,62.65
TrimmedMean,43,24,95.5,64.29
TrimmedMean,43,25,95.5,64.29
TrimmedMean,43,26,95.7,66.41
TrimmedMean,43,27,95.7,66.41
TrimmedMean,43,28,95.8,67.44
TrimmedMean,43,29,96.1,70.45
TrimmedMean,43,30,96.25,71.91
TrimmedMean,43,31,96.25,72.12
TrimmedMean,43,32,96.3,72.59
TrimmedMean,43,33,96.45,73.99
TrimmedMean,43,34,96.45,73.99
TrimmedMean,43,35,96.5,74.64
TrimmedMean,43,36,96.45,74.18
TrimmedMean,43,37,96.55,75.09
TrimmedMean,43,38,96.7,76.43
TrimmedMean,43,39,96.85,77.74
TrimmedMean,43,40,96.85,77.74
TrimmedMean,43,41,96.9,78.17
TrimmedMean,43,42,96.95,78.6
TrimmedMean,43,43,96.95,78.6
TrimmedMean,43,44,96.9,78.77
TrimmedMean,43,45,96.95,79.32
TrimmedMean,43,46,96.95,79.32
TrimmedMean,43,47,96.95,79.32
TrimmedMean,43,48,97.0,79.73
TrimmedMean,43,49,97.1,80.67
TrimmedMean,44,0,17.3,17.05
TrimmedMean,44,1,33.9,19.78
TrimmedMean,44,2,49.55,23.27
TrimmedMean,44,3,66.8,29.36
TrimmedMean,44,4,77.05,35.08
TrimmedMean,44,5,84.3,42.28
TrimmedMean,44,6,90.85,51.46
TrimmedMean,44,7,92.45,53.25
TrimmedMean,44,8,94.25,53.44
TrimmedMean,44,9,94.2,50.43
TrimmedMean,44,10,93.7,41.67
TrimmedMean,44,11,93.2,33.98
TrimmedMean,44,12,93.1,31.68
TrimmedMean,44,13,92.55,21.99
TrimmedMean,44,14,92.5,21.05
TrimmedMean,44,15,92.55,21.99
TrimmedMean,44,16,92.55,21.99
TrimmedMean,44,17,92.85,27.41
TrimmedMean,44,18,92.8,26.53
TrimmedMean,44,19,92.95,29.15
TrimmedMean,44,20,92.85,27.41
TrimmedMean,44,21,92.9,28.28
TrimmedMean,44,22,92.9,28.28
TrimmedMean,44,23,93.0,30.0
TrimmedMean,44,24,93.05,30.85
TrimmedMean,44,25,93.15,32.51
TrimmedMean,44,26,93.2,33.33
TrimmedMean,44,27,93.25,34.15
TrimmedMean,44,28,93.5,38.1
TrimmedMean,44,29,93.8,42.59
TrimmedMean,44,30,93.85,43.32
TrimmedMean,44,31,94.2,48.21
TrimmedMean,44,32,94.25,48.89
TrimmedMean,44,33,94.25,48.89
TrimmedMean,44,34,94.4,50.88
TrimmedMean,44,35,94.4,50.88
TrimmedMean,44,36,94.5,52.17
TrimmedMean,44,37,94.5,52.17
TrimmedMean,44,38,94.55,52.81
TrimmedMean,44,39,94.55,52.81
TrimmedMean,44,40,94.75,55.32
TrimmedMean,44,41,94.8,55.93
TrimmedMean,44,42,94.9,57.14
TrimmedMean,44,43,94.85,56.54
TrimmedMean,44,44,95.15,60.08
TrimmedMean,44,45,95.05,58.92
TrimmedMean,44,46,95.05,58.92
TrimmedMean,44,47,95.3,61.79
TrimmedMean,44,48,95.45,63.45
TrimmedMean,44,49,95.7,66.14
Bulyan,42,0,46.3,20.56
Bulyan,42,1,69.85,26.19
Bulyan,42,2,88.25,29.0
Bulyan,42,3,91.7,15.31
Bulyan,42,4,91.7,7.78
Bulyan,42,5,91.55,2.31
Bulyan,42,6,91.5,1.16
Bulyan,42,7,91.55,1.17
Bulyan,42,8,91.5,0.0
Bulyan,42,9,91.55,1.17
Bulyan,42,10,91.55,1.17
Bulyan,42,11,91.55,1.17
Bulyan,42,12,91.55,1.17
Bulyan,42,13,91.55,1.17
Bulyan,42,14,91.6,2.33
Bulyan,42,15,91.8,6.82
Bulyan,42,16,92.0,11.11
Bulyan,42,17,92.55,21.99
Bulyan,42,18,92.3,17.2
Bulyan,42,19,92.7,24.74
Bulyan,42,20,93.0,30.0
Bulyan,42,21,93.3,34.95
Bulyan,42,22,93.6,39.62
Bulyan,42,23,94.05,48.03
Bulyan,42,24,94.3,52.1
Bulyan,42,25,94.7,56.91
Bulyan,42,26,94.65,57.37
Bulyan,42,27,94.8,58.73
Bulyan,42,28,95.0,61.24
Bulyan,42,29,95.15,63.4
Bulyan,42,30,95.25,65.95
Bulyan,42,31,95.5,68.53
Bulyan,42,32,95.4,68.92
Bulyan,42,33,95.5,69.8
Bulyan,42,34,95.5,70.2
Bulyan,42,35,95.5,70.78
Bulyan,42,36,95.45,71.11
Bulyan,42,37,95.5,72.05
Bulyan,42,38,95.55,73.11
Bulyan,42,39,95.15,71.55
Bulyan,42,40,95.15,71.72
Bulyan,42,41,95.05,71.79
Bulyan,42,42,94.95,71.39
Bulyan,42,43,95.0,71.59
Bulyan,42,44,95.0,71.59
Bulyan,42,45,95.25,72.93
Bulyan,42,46,95.2,73.18
Bulyan,42,47,95.0,72.68
Bulyan,42,48,95.2,73.33
Bulyan,42,49,95.15,72.98
Bulyan,43,0,86.2,32.68
Bulyan,43,1,88.45,30.21
Bulyan,43,2,90.0,27.01
Bulyan,43,3,90.05,27.64
Bulyan,43,4,91.15,24.68
Bulyan,43,5,91.3,23.68
Bulyan,43,6,91.9,27.03
Bulyan,43,7,92.4,33.91
Bulyan,43,8,93.0,37.5
Bulyan,43,9,93.6,43.86
Bulyan,43,10,92.5,25.74
Bulyan,43,11,93.15,37.44
Bulyan,43,12,93.4,40.54
