attack,alpha,round,acc,f1
spf,0.1,32,97.9,0.0
spf,0.1,33,97.9,0.0
spf,0.1,34,97.9,0.0
spf,0.1,35,97.9,0.0
spf,0.1,36,97.9,0.0
spf,0.1,37,97.9,0.0
spf,0.1,38,97.9,0.0
spf,0.1,39,97.9,0.0
spf,0.1,40,97.9,0.0
spf,0.1,41,97.9,0.0
spf,0.1,42,97.9,0.0
spf,0.1,43,97.9,0.0
spf,0.1,44,97.9,0.0
spf,0.1,45,97.9,0.0
spf,0.1,46,97.9,0.0
spf,0.1,47,97.9,0.0
spf,0.1,48,97.9,0.0
spf,0.1,49,97.9,0.0
spf,0.2,0,35.95,5.6
spf,0.2,1,51.15,6.69
spf,0.2,2,72.0,9.68
spf,0.2,3,86.0,14.11
spf,0.2,4,95.45,26.02
spf,0.2,5,98.15,27.45
spf,0.2,6,98.1,17.39
spf,0.2,7,97.95,4.65
spf,0.2,8,97.9,0.0
spf,0.2,9,97.9,0.0
spf,0.2,10,97.9,0.0
spf,0.2,11,97.9,0.0
spf,0.2,12,97.9,0.0
spf,0.2,13,97.9,0.0
spf,0.2,14,97.9,0.0
spf,0.2,15,97.9,0.0
spf,0.2,16,97.9,0.0
spf,0.2,17,97.9,0.0
spf,0.2,18,97.9,0.0
spf,0.2,19,97.9,0.0
spf,0.2,20,97.9,0.0
spf,0.2,21,97.9,0.0
spf,0.2,22,97.9,0.0
spf,0.2,23,97.9,0.0
spf,0.2,24,97.9,0.0
spf,0.2,25,97.9,0.0
spf,0.2,26,97.9,0.0
spf,0.2,27,97.9,0.0
spf,0.2,28,97.9,0.0
spf,0.2,29,97.9,0.0
spf,0.2,30,97.9,0.0
spf,0.2,31,97.9,0.0
spf,0.2,32,97.9,0.0
spf,0.2,33,97.9,0.0
spf,0.2,34,97.9,0.0
spf,0.2,35,97.9,0.0
spf,0.2,36,97.9,0.0
spf,0.2,37,97.9,0.0
spf,0.2,38,97.9,0.0
spf,0.2,39,97.9,0.0
spf,0.2,40,97.9,0.0
spf,0.2,41,97.9,0.0
spf,0.2,42,97.9,0.0
spf,0.2,43,97.9,0.0
spf,0.2,44,97.9,0.0
spf,0.2,45,97.9,0.0
spf,0.2,46,97.9,0.0
spf,0.2,47,97.9,0.0
spf,0.2,48,97.9,0.0
spf,0.2,49,97.9,0.0
spf,0.5,0,43.4,5.98
spf,0.5,1,64.95,8.13
spf,0.5,2,81.45,12.29
spf,0.5,3,93.95,23.9
spf,0.5,4,98.6,53.33
spf,0.5,5,98.15,21.28
spf,0.5,6,98.0,9.09
spf,0.5,7,98.0,9.09
spf,0.5,8,97.9,0.0
spf,0.5,9,97.9,0.0
spf,0.5,10,97.9,0.0
spf,0.5,11,97.9,0.0
spf,0.5,12,97.9,0.0
spf,0.5,13,97.9,0.0
spf,0.5,14,97.9,0.0
spf,0.5,15,97.9,0.0
spf,0.5,16,97.9,0.0
spf,0.5,17,97.9,0.0
spf,0.5,18,97.9,0.0
spf,0.5,19,97.9,0.0
spf,0.5,20,97.9,0.0
spf,0.5,21,97.9,0.0
spf,0.5,22,97.9,0.0
spf,0.5,23,97.9,0.0
spf,0.5,24,97.9,0.0
spf,0.5,25,97.9,0.0
spf,0.5,26,97.9,0.0
spf,0.5,27,97.9,0.0
spf,0.5,28,97.9,0.0
spf,0.5,29,97.9,0.0
spf,0.5,30,97.9,0.0
spf,0.5,31,97.9,0.0
spf,0.5,32,97.9,0.0
spf,0.5,33,97.9,0.0
spf,0.5,34,97.9,0.0
spf,0.5,35,97.9,0.0
spf,0.5,36,97.9,0.0
spf,0.5,37,97.9,0.0
spf,0.5,38,97.95,4.65
spf,0.5,39,97.95,4.65
spf,0.5,40,97.95,4.65
spf,0.5,41,98.0,9.09
spf,0.5,42,98.05,13.33
spf,0.5,43,98.05,13.33
spf,0.5,44,98.1,17.39
spf,0.5,45,98.1,17.39
spf,0.5,46,98.1,17.39
spf,0.5,47,98.1,17.39
spf,0.5,48,98.15,21.28
spf,0.5,49,98.15,21.28
spf,1.0,0,41.75,5.82
spf,1.0,1,66.4,8.45
spf,1.0,2,85.6,15.29
spf,1.0,3,97.2,36.36
spf,1.0,4,98.55,50.85
spf,1.0,5,98.3,32.0
spf,1.0,6,98.2,25.0
spf,1.0,7,98.05,13.33
spf,1.0,8,98.0,9.09
spf,1.0,9,98.0,9.09
spf,1.0,10,98.0,9.09
spf,1.0,11,98.0,9.09
spf,1.0,12,97.95,4.65
spf,1.0,13,98.0,9.09
spf,1.0,14,98.0,9.09
spf,1.0,15,98.05,13.33
spf,1.0,16,98.05,13.33
spf,1.0,17,98.05,13.33
spf,1.0,18,98.05,13.33
spf,1.0,19,98.1,17.39
spf,1.0,20,98.15,21.28
spf,1.0,21,98.15,21.28
spf,1.0,22,98.15,21.28
spf,1.0,23,98.15,21.28
spf,1.0,24,98.25,28.57
spf,1.0,25,98.25,28.57
spf,1.0,26,98.35,35.29
