method,seed,round,acc,f1
TrimmedMean,42,21,96.45,0.0
TrimmedMean,42,22,96.45,0.0
TrimmedMean,42,23,96.45,0.0
TrimmedMean,42,24,96.45,0.0
TrimmedMean,42,25,96.45,0.0
TrimmedMean,42,26,96.45,0.0
TrimmedMean,42,27,96.45,0.0
TrimmedMean,42,28,96.45,0.0
TrimmedMean,42,29,96.45,0.0
TrimmedMean,42,30,96.45,0.0
TrimmedMean,42,31,96.45,0.0
TrimmedMean,42,32,96.45,0.0
TrimmedMean,42,33,96.45,0.0
TrimmedMean,42,34,96.45,0.0
TrimmedMean,42,35,96.45,0.0
TrimmedMean,42,36,96.45,0.0
TrimmedMean,42,37,96.45,0.0
TrimmedMean,42,38,96.45,0.0
TrimmedMean,42,39,96.45,0.0
TrimmedMean,42,40,96.45,0.0
TrimmedMean,42,41,96.45,0.0
TrimmedMean,42,42,96.45,0.0
TrimmedMean,42,43,96.45,0.0
TrimmedMean,42,44,96.45,0.0
TrimmedMean,42,45,96.45,0.0
TrimmedMean,42,46,96.45,0.0
TrimmedMean,42,47,96.45,0.0
TrimmedMean,42,48,96.45,0.0
TrimmedMean,42,49,96.45,0.0
TrimmedMean,43,0,94.25,0.0
TrimmedMean,43,1,96.35,0.0
TrimmedMean,43,2,96.4,0.0
TrimmedMean,43,3,96.45,0.0
TrimmedMean,43,4,96.45,0.0
TrimmedMean,43,5,96.45,0.0
TrimmedMean,43,6,96.45,0.0
TrimmedMean,43,7,96.45,0.0
TrimmedMean,43,8,96.45,0.0
TrimmedMean,43,9,96.45,0.0
TrimmedMean,43,10,96.45,0.0
TrimmedMean,43,11,96.45,0.0
TrimmedMean,43,12,96.45,0.0
TrimmedMean,43,13,96.45,0.0
TrimmedMean,43,14,96.45,0.0
TrimmedMean,43,15,96.45,0.0
TrimmedMean,43,16,96.45,0.0
TrimmedMean,43,17,96.45,0.0
TrimmedMean,43,18,96.45,0.0
TrimmedMean,43,19,96.45,0.0
TrimmedMean,43,20,96.45,0.0
TrimmedMean,43,21,96.45,0.0
TrimmedMean,43,22,96.45,0.0
TrimmedMean,43,23,96.45,0.0
TrimmedMean,43,24,96.45,0.0
TrimmedMean,43,25,96.45,0.0
TrimmedMean,43,26,96.45,0.0
TrimmedMean,43,27,96.45,0.0
TrimmedMean,43,28,96.45,0.0
TrimmedMean,43,29,96.45,0.0
TrimmedMean,43,30,96.45,0.0
TrimmedMean,43,31,96.45,0.0
TrimmedMean,43,32,96.45,0.0
TrimmedMean,43,33,96.45,0.0
TrimmedMean,43,34,96.45,0.0
TrimmedMean,43,35,96.45,0.0
TrimmedMean,43,36,96.45,0.0
TrimmedMean,43,37,96.45,0.0
TrimmedMean,43,38,96.45,0.0
TrimmedMean,43,39,96.45,0.0
TrimmedMean,43,40,96.45,0.0
TrimmedMean,43,41,96.45,0.0
TrimmedMean,43,42,96.45,0.0
TrimmedMean,43,43,96.45,0.0
TrimmedMean,43,44,96.45,0.0
TrimmedMean,43,45,96.45,0.0
TrimmedMean,43,46,96.45,0.0
TrimmedMean,43,47,96.45,0.0
TrimmedMean,43,48,96.45,0.0
TrimmedMean,43,49,96.45,0.0
TrimmedMean,44,0,18.35,3.66
TrimmedMean,44,1,36.4,3.2
TrimmedMean,44,2,54.35,2.35
TrimmedMean,44,3,68.55,2.18
TrimmedMean,44,4,87.75,3.92
TrimmedMean,44,5,93.6,5.88
TrimmedMean,44,6,95.0,3.85
TrimmedMean,44,7,95.55,2.2
TrimmedMean,44,8,95.9,0.0
TrimmedMean,44,9,96.2,0.0
TrimmedMean,44,10,96.4,0.0
TrimmedMean,44,11,96.45,0.0
TrimmedMean,44,12,96.45,0.0
TrimmedMean,44,13,96.45,0.0
TrimmedMean,44,14,96.45,0.0
TrimmedMean,44,15,96.45,0.0
TrimmedMean,44,16,96.45,0.0
TrimmedMean,44,17,96.45,0.0
TrimmedMean,44,18,96.45,0.0
TrimmedMean,44,19,96.45,0.0
TrimmedMean,44,20,96.45,0.0
TrimmedMean,44,21,96.45,0.0
TrimmedMean,44,22,96.45,0.0
TrimmedMean,44,23,96.45,0.0
TrimmedMean,44,24,96.45,0.0
TrimmedMean,44,25,96.45,0.0
TrimmedMean,44,26,96.45,0.0
TrimmedMean,44,27,96.45,0.0
TrimmedMean,44,28,96.45,0.0
TrimmedMean,44,29,96.45,0.0
TrimmedMean,44,30,96.45,0.0
TrimmedMean,44,31,96.45,0.0
TrimmedMean,44,32,96.45,0.0
TrimmedMean,44,33,96.45,0.0
TrimmedMean,44,34,96.45,0.0
TrimmedMean,44,35,96.45,0.0
TrimmedMean,44,36,96.45,0.0
TrimmedMean,44,37,96.45,0.0
TrimmedMean,44,38,96.45,0.0
TrimmedMean,44,39,96.45,0.0
TrimmedMean,44,40,96.45,0.0
TrimmedMean,44,41,96.45,0.0
TrimmedMean,44,42,96.45,0.0
TrimmedMean,44,43,96.45,0.0
TrimmedMean,44,44,96.45,0.0
TrimmedMean,44,45,96.45,0.0
TrimmedMean,44,46,96.45,0.0
TrimmedMean,44,47,96.45,0.0
TrimmedMean,44,48,96.45,0.0
TrimmedMean,44,49,96.45,0.0
Bulyan,42,0,72.45,8.93
Bulyan,42,1,80.8,9.86
Bulyan,42,2,85.35,12.01
Bulyan,42,3,89.1,6.03
Bulyan,42,4,93.0,1.41
Bulyan,42,5,94.45,0.0
Bulyan,42,6,95.35,0.0
Bulyan,42,7,95.75,0.0
Bulyan,42,8,96.3,0.0
Bulyan,42,9,96.4,0.0
Bulyan,42,10,96.45,0.0
Bulyan,42,11,96.45,0.0
Bulyan,42,12,96.45,0.0
Bulyan,42,13,96.45,0.0
Bulyan,42,14,96.45,0.0
Bulyan,42,15,96.45,0.0
Bulyan,42,16,96.45,0.0
Bulyan,42,17,96.45,0.0
Bulyan,42,18,96.45,0.0
Bulyan,42,19,96.45,0.0
Bulyan,42,20,96.45,0.0
Bulyan,42,21,96.45,0.0
Bulyan,42,22,96.45,0.0
Bulyan,42,23,96.45,0.0
Bulyan,42,24,96.45,0.0
Bulyan,42,25,96.45,0.0
Bulyan,42,26,96.45,0.0
Bulyan,42,27,96.45,0.0
Bulyan,42,28,96.45,0.0
Bulyan,42,29,96.45,0.0
Bulyan,42,30,96.45,0.0
Bulyan,42,31,96.45,0.0
Bulyan,42,32,96.45,0.0
Bulyan,42,33,96.45,0.0
Bulyan,42,34,96.45,0.0
Bulyan,42,35,96.45,0.0
Bulyan,42,36,96.45,0.0
