method,round,acc,f1
FLAME,20,96.45,0.0
FLAME,21,96.45,0.0
FLAME,22,96.45,0.0
FLAME,23,96.45,0.0
FLAME,24,96.45,0.0
FLAME,25,96.45,0.0
FLAME,26,96.45,0.0
FLAME,27,96.45,0.0
FLAME,28,96.45,0.0
FLAME,29,96.45,0.0
FLAME,30,96.45,0.0
FLAME,31,96.45,0.0
FLAME,32,96.45,0.0
FLAME,33,96.45,0.0
FLAME,34,96.45,0.0
FLAME,35,96.45,0.0
FLAME,36,96.45,0.0
FLAME,37,96.45,0.0
FLAME,38,96.45,0.0
FLAME,39,96.45,0.0
FLAME,40,96.45,0.0
FLAME,41,96.45,0.0
FLAME,42,96.45,0.0
FLAME,43,96.45,0.0
FLAME,44,96.45,0.0
FLAME,45,96.45,0.0
FLAME,46,96.45,0.0
FLAME,47,96.45,0.0
FLAME,48,96.45,0.0
FLAME,49,96.45,0.0
Ours,0,71.3,8.89
Ours,1,82.6,11.68
Ours,2,86.85,13.2
Ours,3,90.75,9.76
Ours,4,94.3,0.0
Ours,5,95.5,0.0
Ours,6,96.3,0.0
Ours,7,96.45,0.0
Ours,8,96.45,0.0
Ours,9,96.45,0.0
Ours,10,96.45,0.0
Ours,11,96.45,0.0
Ours,12,96.45,0.0
Ours,13,96.45,0.0
Ours,14,96.45,0.0
Ours,15,96.45,0.0
Ours,16,96.45,0.0
Ours,17,96.45,0.0
Ours,18,96.45,0.0
Ours,19,96.45,0.0
Ours,20,96.45,0.0
Ours,21,96.45,0.0
Ours,22,96.45,0.0
Ours,23,96.45,0.0
Ours,24,96.45,0.0
Ours,25,96.45,0.0
Ours,26,96.45,0.0
Ours,27,96.45,0.0
Ours,28,96.45,0.0
Ours,29,96.45,0.0
Ours,30,96.45,0.0
Ours,31,96.45,0.0
Ours,32,96.45,0.0
Ours,33,96.45,0.0
Ours,34,96.45,0.0
Ours,35,96.45,0.0
Ours,36,96.45,0.0
Ours,37,96.45,0.0
Ours,38,96.45,0.0
Ours,39,96.45,0.0
Ours,40,96.45,0.0
Ours,41,96.45,0.0
Ours,42,96.45,0.0
Ours,43,96.45,0.0
Ours,44,96.45,0.0
Ours,45,96.45,0.0
Ours,46,96.45,0.0
Ours,47,96.45,0.0
Ours,48,96.45,0.0
Ours,49,96.45,0.0
